"author","birth","death","wikipageid","books","bio"
"Jon Meacham",1969-05-20,,4723251,"American Lion (book)","Jon Ellis Meacham (/ˈmiːtʃəm/; born May 20, 1969) is executive editor and executive vice president at Random House. He is a former editor-in-chief of Newsweek, a contributing editor to Time magazine, editor-at-large of WNET, and a commentator on politics, history, and religious faith in America. He won the 2009 Pulitzer Prize for Biography or Autobiography for American Lion: Andrew Jackson in the White House. Meacham also wrote Thomas Jefferson: The Art of Power (2012), which appeared on many publications' year-end lists of the best nonfiction."
"Ann Elder",1942-09-21,,16671757,"Lily (1973 special)|Carol Burnett & Company","Ann Elder (born Anna Velders September 21, 1942, in Cleveland, Ohio) is an American Emmy Award-winning screenwriter. She won Emmy awards also for comedy writing, (co-shared for Lily Tomlin's 1974 CBS special among others). She also wrote for Mama's Family as well. Elder made an appearance on the 1960s television series The Wild Wild West. Elder appeared several times on Match Game during its run in the 1970s, as well as being a regular on Laugh In in the early 1970s."
"Brian Ash (bibliographer)","1936","2010",7338910,"The Visual Encyclopedia of Science Fiction","Brian Ash (1936-2010[citation needed]) was a British writer, scientific journalist, and editor. Ash was best known for his bibliographies and reference books. In the 1970s he wrote several works on science fiction, including Faces of the Future, Who's Who in Science Fiction, and Who's Who in H.G Wells. He also was the editor of The Visual Encyclopedia of Science Fiction (1977: UK, Pan Books; US, Harmony/Crown Books, ISBN 0-517-53175-5), which contained chapter introductions from science fiction authors. The latter title was, in 1978, listed as one of the ALA Best Books for Young Adults. He was married once, and had two children. In the field of advertising, Ash published Tiger in your Tank: the Anatomy of an Advertising Campaign, a light-hearted study of the worldwide ESSO ""Tiger in your Tank"" campaign."
"Wesley Burrowes",1930-04-15,2015-12-31,23254823,"Glenroe","Wesley Burrowes (15 April 1930 – 31 December 2015) was an Irish playwright and screenwriter. Originally from Northern Ireland, he became a resident of the Republic of Ireland. He was best known as the chief scriptwriter on The Riordans and Glenroe, two of the most successful drama series produced by RTÉ Television."
"David McRobbie",1934-09-17,,27116194,"Fergus McPhail|The Wayne Manifesto","David McRobbie is an Australian writer of television, radio and children's literature."
"Arthur Machen",1863-03-03,1947-12-15,38293,"The White People|The Hill of Dreams|The Green Round|The Great God Pan|The Three Impostors","Arthur Machen (/ˈmækən/; 3 March 1863 – 15 December 1947) was a Welsh author and mystic of the 1890s and early 20th century. He is best known for his influential supernatural, fantasy, and horror fiction. His novella The Great God Pan (1890; 1894) has garnered a reputation as a classic of horror (Stephen King has called it ""Maybe the best [horror story] in the English language""). He is also well known for his leading role in creating the legend of the Angels of Mons."
"Ann Patchett",1963-12-02,,2017775,"The Patron Saint of Liars (film)|The Patron Saint of Liars (novel)|Bel Canto (novel)|State of Wonder","Ann Patchett (born December 2, 1963) is an American author. She received the Orange Prize for Fiction and the PEN/Faulkner Award in 2002 for her novel Bel Canto. Patchett's other novels include Run, The Patron Saint of Liars, Taft, State of Wonder, and The Magician's Assistant, which was shortlisted for the Orange Prize. She is the recipient of a Guggenheim Fellowship and received the Nashville Banner Tennessee Writer of the Year Award in 1994."
"Kim Mohan",1949-05-04,,12610054,"Wilderness Survival Guide","Kim Rudolph Mohan (born May 4, 1949 in Chicago, Illinois) is an American author and editor."
"Caitlin Rother",1962-12-06,,37736552,"Lost Girls (non-fiction book)","Caitlin Rother (born December 6, 1962 in Montreal, Canada) is a New York Times bestselling non-fiction, true crime American-Canadian author and journalist who lives in San Diego, California."
"Richard Melo",1968-08-10,,9802531,"Jokerman 8","Richard Melo (born August 10, 1968) is an American author and book reviewer. He is the author of the novels Happy Talk and Jokerman 8."
"Richard Lipez",1938-11-30,,15658494,"Shock to the System (film)|Third Man Out","Richard Lipez (born November 30, 1938 in Lock Haven, Pennsylvania) is an openly gay American journalist and mystery author, currently residing in Massachusetts. He is best known for his Donald Strachey mysteries, which were originally published under the pen name Richard Stevenson."
"B. G. L. Swamy",1918-02-05,1980-11-02,2472296,"Hasiru Honnu","Bengaluru Gundappa Lakshminarayana Swamy[citation needed] (1918–1980, also known as B. G. L. Swamy) was an Indian botanist and Kannada writer who was professor and head of the department of Botany and a principal of Presidency College, Chennai. He was the son of D. V. Gundappa, an Indian writer and philosopher."
"Arthur Hoerl",1891-12-17,1968-02-06,16931253,"Rocky Jones, Space Ranger","Arthur Hoerl (December 17, 1891 – February 6, 1968) was an American screenwriter and film director."
"Fredric Jameson",1934-04-14,,356751,"Postmodernism, or, the Cultural Logic of Late Capitalism|The Political Unconscious","Fredric Jameson (born 14 April 1934) is an American literary critic and Marxist political theorist. He is best known for his analysis of contemporary cultural trends. He once described postmodernism as the spatialization of culture under the pressure of organized capitalism. Jameson's best-known books include Postmodernism, or, The Cultural Logic of Late Capitalism, The Political Unconscious, and Marxism and Form. Jameson is currently Knut Schmidt-Nielsen Professor of Comparative Literature and Romance Studies (French) and the director of the Center for Critical Theory at Duke University. In 2012, the Modern Language Association gave Jameson its sixth Award for Lifetime Scholarly Achievement."
"Catherine Jinks","1963",,13669739,"Evil Genius (novel)|Eye to Eye (novel)|Genius Squad|Genius Wars","Catherine Jinks (born 1963) is an Australian writer of fiction books for all age groups. She has won many awards including the Children's Book Council of Australia Book of the Year Award four times, the Victorian Premier's Literary Award, the Aurealis Award for science fiction, the IBBY Australia Ena Noel Encouragement Award, the Adelaide Festival Award, and the Davitt Award for crime fiction.[clarification needed]"
"Frank Chin",1940-02-25,,2644299,"The Chinaman Pacific and Frisco R.R. Co.|Aiiieeeee! An Anthology of Asian-American Writers|The Year of the Dragon (play)|Donald Duk|The Chickencoop Chinaman","Frank Chin (趙 健 秀; pinyin: Zhào Jiànxiù) (born February 25, 1940) is an American author and playwright."
"Christopher Golden",1967-07-15,,3556731,"Monster Island (Buffy/Angel novel)|Oz: Into the Wild|Child of the Hunt|Halloween Rain|Sins of the Father (Buffy novel)|Spike and Dru: Pretty Maids All in a Row|The Gatekeeper (Buffy novel series)|The Lost Slayer|Wisdom of War|Bloodstained Oz|Blooded|Sunnydale High Yearbook|List of Buffyverse guidebooks|Dark Congress","Christopher Golden (born July 15, 1967[citation needed]) is an American author of horror, fantasy, and suspense novels for adults and teens. He is also writing a series of Sons of Anarchy novels."
"George Saunders",1958-12-02,,1529353,"Tenth of December: Stories|CivilWarLand in Bad Decline|The Brief and Frightening Reign of Phil|Pastoralia|The Very Persistent Gappers of Frip|In Persuasion Nation|The Braindead Megaphone","George Saunders (born December 2, 1958) is an American writer of short stories, essays, novellas and children's books. His writing has appeared in The New Yorker, Harper's, McSweeney's and GQ. He also contributed a weekly column, American Psyche, to the weekend magazine of The Guardian until October 2008. A professor at Syracuse University, Saunders won the National Magazine Award for fiction in 1994, 1996, 2000, and 2004, and second prize in the O. Henry Awards in 1997. His first story collection, CivilWarLand in Bad Decline, was a finalist for the 1996 PEN/Hemingway Award. In 2006 Saunders received a MacArthur Fellowship. In 2006 he won the World Fantasy Award for his short story ""CommComm"". His story collection In Persuasion Nation was a finalist for The Story Prize in 2007. In 2013, he won the PEN/Malamud Award and was a finalist for the National Book Award. Saunders's Tenth of December: Stories won the 2013 Story Prize for short-story collections and the inaugural (2014) Folio Prize."
"Rasul Rza",1910-05-19,1981-04-01,28099378,"Azerbaijani Soviet Encyclopedia","Rasul Rza (real name Rasul Ibrahim oglu Rzayev – Azerbaijani: Rəsul Ibrahim oğlu Rzayev), (1910 – 1981 in Baku), was an Azerbaijani writer, Hero of Socialist Labour (1980), People's Poet of Azerbaijan, Laureate of Soviet State Award and the Chairman of the Writers' Union of Azerbaijan. He was the husband of Azerbaijani writer Nigar Rafibeyli and the father of writer Anar Rzayev."
"Robert Sobel",1931-02-19,1999-06-02,2851978,"ITT: The Management of Opportunity|For Want of a Nail (novel)","Robert Sobel (February 19, 1931 – June 2, 1999) was an American professor of history at Hofstra University and a well-known and prolific writer of business histories."
"Sumrit Shahi",1993-02-12,,41053119,"Sadda Haq (TV series)","Sumrit Shahi is an Indian novelist and screenwriter. He has three youth based shows, one is Sadda Haq - My Life, My Choice on Channel V India which won the Youth show (fiction) category at Zee Gold Awards in 2014 and at Indian Telly Awards in 2014 and 2015 , the second is Million Dollar Girl - From Banaras to Paris also on Channel V India and Boyz on Big Magic entertainment to his credit. He also has Ek Veer Ki Ardaas...Veera on Star Plus to his credit. He is the author of three novels, Just Friends, A lot like love and Never Kiss Your Best Friend. He wrote his first novel Just Friends at the age of 17. In 2015, he was chosen by Hindustan Times in the list of Top 30 under 30 young achievers in the country, terming him as a 'writing rockstar of the young' . His motto in life is ""Do your best, God will do the rest."""
